Epoch,Train Loss,Validation Loss,mIOU
1,0.5197017662322353,0.42124283719062805,0.41193226541652195
2,0.41112995988463263,0.46926370126008987,0.39517773212882457
3,0.3817124088177684,0.41834735625982283,0.4306506553162454
4,0.36048793117312194,0.3723548521399498,0.4559176349136279
5,0.35027473357273736,0.373729450404644,0.45821340803354915
